"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"TKE"	"Omega"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"	"<greek>m</greek><sub>t</sub>"
10	9.701499938960000e-01	-4.256268552403566e-03	9.833728168241814e-01	0.000000000000000e+00	0.000000000000000e+00	2.493190459786136e+00	1.000000000000000e-10	8.289958744769131e-01	9.972761838751193e-01	1.014138449642974e+00	-1.729407063416323e-01	0.000000000000000e+00	2.990091291932562e-08	7.862220509129877e-06	1.099469201810478e-06	-3.624282256799126e-08	6.346050818311177e+01	7.289662145331185e-12	
11	9.645400047300000e-01	-5.038225493362627e-03	9.832346456057844e-01	0.000000000000000e+00	0.000000000000000e+00	2.493181916379139e+00	1.000000000000000e-10	5.932763016527559e-01	9.972727665123260e-01	1.014277488053620e+00	-1.731576817570800e-01	0.000000000000000e+00	2.990405400834787e-08	7.722498123285278e-06	1.072295252786612e-06	-3.837669871943610e-08	7.432090130253457e+01	7.422385893569048e-12	
12	9.584699869160000e-01	-5.878077433056352e-03	9.831015316500403e-01	0.000000000000000e+00	0.000000000000000e+00	2.493169122068561e+00	1.000000000000000e-10	5.932126981558067e-01	9.972676487881001e-01	1.014409617605095e+00	-1.734826166285622e-01	0.000000000000000e+00	2.990703882073507e-08	7.602755618115606e-06	1.047613088853138e-06	-4.026271249514717e-08	7.372875229130040e+01	7.540186947004188e-12	
13	9.519400000570000e-01	-6.774428848839826e-03	9.829790846459814e-01	0.000000000000000e+00	0.000000000000000e+00	2.493155563461932e+00	1.000000000000000e-10	5.134196032163965e-01	9.972622253454532e-01	1.014530462471250e+00	-1.738269621934498e-01	0.000000000000000e+00	2.990976854522488e-08	7.501426006786012e-06	1.025208523723771e-06	-4.185268140274945e-08	7.869874950300883e+01	7.643009661632910e-12	
14	9.449599981310000e-01	-7.724467125531491e-03	9.828693366261492e-01	0.000000000000000e+00	0.000000000000000e+00	2.493151476262114e+00	1.000000000000000e-10	3.974752911191550e-01	9.972605904655307e-01	1.014642082424488e+00	-1.739307640932873e-01	0.000000000000000e+00	2.991228975004333e-08	7.415013718447483e-06	1.004590133793639e-06	-4.322952490822784e-08	8.889539756212932e+01	7.733133338671651e-12	
15	9.375399947170000e-01	-8.725349486403867e-03	9.827757214102459e-01	0.000000000000000e+00	0.000000000000000e+00	2.493169963715263e+00	1.000000000000000e-10	3.548636298156534e-01	9.972679854467940e-01	1.014746257687107e+00	-1.734612414733996e-01	0.000000000000000e+00	2.991464267633741e-08	7.337697883919578e-06	9.849693418821708e-07	-4.443741577840476e-08	9.356292190854136e+01	7.815785289164320e-12	
16	9.296900033950000e-01	-9.774221272349531e-03	9.826967248940589e-01	0.000000000000000e+00	0.000000000000000e+00	2.493203833449227e+00	1.000000000000000e-10	3.547793008436402e-01	9.972815333403828e-01	1.014841617028790e+00	-1.726010577534712e-01	0.000000000000000e+00	2.991679638072385e-08	7.262860834109977e-06	9.654624945437884e-07	-4.545224236242885e-08	9.307723791848818e+01	7.897595315418845e-12	
17	9.214000105860000e-01	-1.087086069705918e-02	9.826268138132759e-01	0.000000000000000e+00	0.000000000000000e+00	2.493238765673987e+00	1.000000000000000e-10	2.889276729445550e-01	9.972955062302896e-01	1.014928040035961e+00	-1.717138901403418e-01	0.000000000000000e+00	2.991874817126808e-08	7.189759107119149e-06	9.460136006839234e-07	-4.628819508088077e-08	1.025837663870687e+02	7.979253221503484e-12	
18	9.126999974250000e-01	-1.200973104171110e-02	9.825687817518826e-01	0.000000000000000e+00	0.000000000000000e+00	2.493280553251634e+00	1.000000000000000e-10	2.888983705661672e-01	9.973122212613507e-01	1.015004994849502e+00	-1.706526183269422e-01	0.000000000000000e+00	2.992048606228873e-08	7.120837732739436e-06	9.269471609666895e-07	-4.695771888873544e-08	1.020779073453777e+02	8.057934323367764e-12	
19	9.035800099370001e-01	-1.319055953446835e-02	9.825285152766222e-01	0.000000000000000e+00	0.000000000000000e+00	2.493344659811609e+00	1.000000000000000e-10	2.416180820121024e-01	9.973378638853421e-01	1.015072690897476e+00	-1.690245152163767e-01	0.000000000000000e+00	2.992201480689418e-08	7.053238921477392e-06	9.079286456637477e-07	-4.746946071129943e-08	1.110508476727923e+02	8.136733337788570e-12	
20	8.940600156780000e-01	-1.440916392228702e-02	9.824993798516882e-01	0.000000000000000e+00	0.000000000000000e+00	2.493419347084042e+00	1.000000000000000e-10	2.415708136960012e-01	9.973677387943167e-01	1.015133199315478e+00	-1.671276955989381e-01	0.000000000000000e+00	2.992338119481299e-08	6.983869637288943e-06	8.885776733060841e-07	-4.786470718510052e-08	1.104971447439779e+02	8.219205790378656e-12	
21	8.841500282290000e-01	-1.566269158090452e-02	9.824743469551016e-01	0.000000000000000e+00	0.000000000000000e+00	2.493486734552034e+00	1.000000000000000e-10	2.229859090444110e-01	9.973946937815144e-01	1.015186500159169e+00	-1.654162678403587e-01	0.000000000000000e+00	2.992458478987599e-08	6.911167024672096e-06	8.687333439214991e-07	-4.813990931829618e-08	1.143827773474630e+02	8.307351247548082e-12	
22	8.738499879840000e-01	-1.694956337677533e-02	9.824483982740958e-01	0.000000000000000e+00	0.000000000000000e+00	2.493538771109263e+00	1.000000000000000e-10	1.925295608340395e-01	9.974155084044070e-01	1.015234500006926e+00	-1.640947044820980e-01	0.000000000000000e+00	2.992566865584751e-08	6.837843151843906e-06	8.487775136920521e-07	-4.832751482953761e-08	1.224054265330219e+02	8.398134463955400e-12	
23	8.631799817090000e-01	-1.826569132102762e-02	9.824097549711955e-01	0.000000000000000e+00	0.000000000000000e+00	2.493550326576093e+00	1.000000000000000e-10	1.802172728876485e-01	9.974201305911405e-01	1.015279139426283e+00	-1.638012323085372e-01	0.000000000000000e+00	2.992667661880509e-08	6.768273721967151e-06	8.292700567260705e-07	-4.847927097351549e-08	1.258439721302492e+02	8.486086388473544e-12	
24	8.521599769590000e-01	-1.960709133914372e-02	9.823583268469712e-01	0.000000000000000e+00	0.000000000000000e+00	2.493530125466420e+00	1.000000000000000e-10	1.802557889449890e-01	9.974120501472733e-01	1.015324065454425e+00	-1.643142763636002e-01	0.000000000000000e+00	2.992769103154615e-08	6.707353955615951e-06	8.107918597962625e-07	-4.866248785683718e-08	1.252431027961705e+02	8.564739221258879e-12	
